"time","RL_result"
0,1.10842223268026
1,0.62027690587932
2,0.545056798396257
3,0.548310598047521
4,0.584071943368938
5,0.638659189284482
6,0.70575620459623
7,0.780950124491679
8,0.860027261668918
9,0.938481505461797
10,1.01183734070119
11,1.07639658669279
12,1.13147218700257
13,1.58054871408057
14,2.01693975269121
15,2.54116609263878
16,3.25526409250236
17,4.28486882431633
18,5.79004817584769
19,7.94498033721356
20,10.8258599802377
21,14.525664860728
22,19.4824169778078
23,26.3186021777591
24,35.9828991557532
25,49.9787687907398
26,70.7419005725231
27,102.262430565445
28,151.083547980769
29,227.811348135692
30,349.134924766224
31,539.816531330126
32,832.626288641539
33,756.86955841629
34,668.642142103594
35,563.921002702128
36,446.055319204781
37,325.003101922174
38,214.852038992434
39,129.098847232973
40,75.4042094911315
41,46.2924427484987
42,29.7046384687055
43,19.8369806216272
44,13.7418306491339
45,9.8506353318576
46,7.29398207211649
47,5.57243411096241
48,4.38999029469642
49,3.56650221181768
50,2.99004953945905
51,2.5903335599265
52,2.32357745022674
53,9.72716065054536
54,17.2820871179186
55,26.680794073365
56,39.7678799549888
57,58.5766031407108
58,84.7611110779438
59,117.812857606003
60,151.274993232732
61,179.168937957675
62,204.97369566205
63,231.381317959446
64,260.171418289741
65,292.522829341135
66,329.288110411059
67,371.163717293284
68,418.783445022966
69,472.765896744813
70,533.735150525039
71,602.324669333878
72,679.169029490582
73,764.884987499229
74,860.042084743858
75,965.121980226404
76,1080.4658988026
77,1206.20989322585
78,1342.20869786089
79,1487.95062887677
80,1642.46823763233
81,1804.25227784471
82,1971.17956121197
83,2140.46771990197
84,2308.67549472899
85,2471.75970532023
86,2625.19546937138
87,2764.17166848919
88,2883.85366665639
89,2979.69602610214
90,3047.77668485722
91,3085.11506696489
92,3089.93364712207
93,3061.8266053373
94,3001.80997771262
95,2912.24489961389
96,2796.64402950374
97,2659.3874509434
98,2505.38628197965
99,2339.7354867472
100,2167.39426603683
101,1992.92313927202
102,1820.29462767812
103,1652.78214877606
104,1492.92124279913
105,1342.5304239142
106,1202.77547265735
107,1074.26038490443
108,957.130425179103
109,851.175778781554
110,755.927724009109
111,670.742538758808
112,594.871018455138
113,527.513383613193
114,467.860660282043
115,415.124308897058
116,368.556140717268
117,327.460553677903
118,291.200929615473
119,259.201778744745
120,230.947912710027
121,205.981669502588
122,183.898946437666
123,164.344614108932
124,147.007699098851
125,131.616612831299
126,117.934594914974
127,105.755475035681
128,94.8998099840621
129,85.2114082237315
130,76.5542439878045
131,68.809738499639
132,61.8743842658137
133,55.65767984518
134,50.0803449212244
135,45.0727824163545
136,40.5737584726884
137,36.5292721690148
138,32.8915896761984
139,29.6184196927953
140,26.6722100345201
141,24.0195472265956
142,21.630643215964
143,19.4788961011874
144,17.5405122614206
145,15.7941809072108
146,14.22079197977
147,12.8031909140772
148,11.5259643044877
149,10.3752519548873
150,9.3385814200522
151,8.40472194653762
152,7.56355526113148
153,6.80596098240254
154,6.12371487506227
155,5.5093983761591
156,4.95631799011672
157,4.45843338529681
158,4.0102931455497
159,3.60697723241434
160,3.24404535559
161,2.91749061935016
162,2.62369775269676
163,2.35940544611862
164,2.1216723525919
165,1.90784632989713
166,1.7155366121661
167,1.54258861583519
168,1.38706110379017
169,1.24720552520105
170,1.12144721766311
171,1.00836848971816
172,0.906693233730861
173,0.815273008584432
174,0.733074439938336
175,0.659167856109287
176,0.592716989012088
177,0.53296968159857
178,0.479249503800622
179,0.43094818895581
180,0.387518790742894
181,0.348469540452768
182,0.313358307578316
183,0.281787595877142
184,0.253400043584443
185,0.22787439218914
186,0.204921831362163
187,0.184282721265947
188,0.165723655207225
189,0.149034798938594
190,0.13402751380422
191,0.120532211609992
192,0.108396428384308
193,0.0974830934573543
194,0.0876689728846587
195,0.0788432706463864
196,0.070906371242691
197,0.0637687098181517
198,0.0573497564638125
199,0.0515771034079318
200,0.0463856445761759
201,0.0417168382487466
202,0.0375180441360651
203,0.0337419277512447
204,0.030345926056338
205,0.0272917632864928
206,0.0245450207126587
207,0.0220747468910797
208,0.0198531085037159
209,0.0178550753619843
210,0.016058138087589
211,0.0144420540581007
212,0.012988618906071
213,0.0116814612493186
214,0.0105058580757739
215,0.0094485682575378
216,0.00849768402449896
217,0.00764249610117831
218,0.00687337321773731
219,0.00618165357517846
220,0.00555954716163006
221,0.00500004816313897
222,0.00449685575722252
223,0.00404430328454349
224,0.00363729441630638
225,0.00327124579850996
226,0.00294203534173812
227,0.00264595566516764
228,0.00237967256133491
229,0.00214018739512061
230,0.00192480344750351
231,0.00173109525649118
232,0.00155688123985652
233,0.00140019962311629
234,0.00125928609063681
235,0.00113255381336002
236,0.00101857550432157
237,0.000916067703671077
238,0.00082387610805071
239,0.000740962531400837
240,0.000666393145658138
241,0.000599328271326697
242,0.000539012740739361
243,0.000484767259319836
244,0.000435980952605711
245,0.00039210443021894
246,0.000352643564194393
247,0.000317153979130852
248,0.000285236030114832
249,0.000256530250735199
250,0.000230713374642701
251,0.000207494670756192
252,0.000186612662469503
253,0.000167832188872962
254,0.000150941761952206
255,0.000135751249536542
256,0.00012208944117507
257,0.000109802361390871
258,9.87518498916309e-05
259,8.8813494380513e-05
260,7.98753483791725e-05
261,7.18367860683173e-05
262,6.46071969149614e-05
263,5.81051568717519e-05
264,5.22574719306941e-05
265,4.69983332909199e-05
266,4.22684758711464e-05
267,3.80146266521633e-05
268,3.41888717360106e-05
269,3.07481291157517e-05
270,2.76536392288175e-05
271,2.48706011951756e-05
272,2.23676420923168e-05
273,2.01165827411603e-05
274,1.80920647650156e-05
275,1.62712919874001e-05
276,1.46337689756933e-05
277,1.31610403713968e-05
278,1.18365259669398e-05
279,1.06452982245001e-05
280,9.57395846351191e-06
281,8.61044084094332e-06
282,7.74389485288595e-06
283,6.96457625592172e-06
284,6.26367428291794e-06
285,5.63329291822215e-06
286,5.06633240600092e-06
287,4.55642559756413e-06
288,4.09784831110593e-06
289,3.68543955255972e-06
290,3.31455250124376e-06
291,2.98102033143859e-06
292,2.68107012177756e-06
293,2.41127470411884e-06
294,2.16862294460532e-06
295,1.95036903951327e-06
296,1.75404986193663e-06
297,1.57749284924431e-06
298,1.41870413764295e-06
299,1.275974292824e-06
300,1.14761449223909e-06
301,1.03216575342825e-06
302,9.2832295708539e-07
303,8.34885275185073e-07
304,7.50804185547742e-07
305,6.7518107701022e-07
306,6.07203711135938e-07
307,5.46082347354183e-07
308,4.91145933068826e-07
309,4.41745805343735e-07
310,3.972169460415e-07
311,3.57286907782727e-07
312,3.2130534702948e-07
313,2.88948590291928e-07
314,2.59869215264556e-07
315,2.33735591856154e-07
316,2.10242529328985e-07
317,1.89097962469309e-07
318,1.70079902769251e-07
319,1.52862786284661e-07
320,1.37560707857845e-07
321,1.23690154113181e-07
322,1.11132512512308e-07
323,9.98719559490716e-08
324,8.97773419592635e-08
325,8.06625631993453e-08
326,7.27310318695577e-08
327,6.52228359630183e-08
328,5.85784054806082e-08
329,5.27087471354115e-08
330,4.75067286343476e-08
331,4.28683465807085e-08
332,3.86928207227817e-08
333,3.48777794005231e-08
334,3.13988715049008e-08
335,2.82772028122586e-08
336,2.54562959403352e-08
337,2.28864003186057e-08
338,2.05269784966776e-08
339,1.83844958658623e-08
340,1.64574491128794e-08
341,1.47322308490058e-08
342,1.31913646167954e-08
343,1.16254471425253e-08
344,1.05147613468897e-08
345,9.48752833619081e-09
346,8.54449983950404e-09
347,7.68446510362377e-09
348,6.90326846974694e-09
349,6.19712275960061e-09
350,5.5657482650131e-09
351,4.99978246913281e-09
352,4.48849395232523e-09
353,4.02217719478854e-09
354,3.59929860209621e-09
355,3.21911775055233e-09
356,2.8855067815003e-09
357,2.59124594158079e-09
358,2.32522563577451e-09
359,2.08664713333032e-09
360,1.87531080510875e-09
361,1.69075069060393e-09
362,1.52560874134923e-09
363,1.37733584568334e-09
364,1.24539600090592e-09
365,1.12994934201976e-09
366,1.02698561281024e-09
367,9.33848947327361e-10
368,8.50261356415421e-10
369,7.76132832817931e-10
370,7.09285308081035e-10
371,6.46876967319493e-10
372,5.88686443404187e-10
373,5.34615379277442e-10
374,4.84021954888153e-10
375,4.35277598736443e-10
376,3.88309760514504e-10
377,3.43306818834241e-10
378,3.01017961254703e-10
379,2.61835173186244e-10
380,2.25250739955248e-10
381,1.87226108683299e-10
382,1.52613990587804e-10
383,1.21731948098587e-10
384,9.47789343931931e-11
385,7.18370317621762e-11
386,5.28825665016952e-11
387,3.77897034045507e-11
388,2.63058031364403e-11
389,1.79820591443159e-11
390,1.22603175569922e-11
391,8.62939023613829e-12
392,6.68302553868903e-12
393,5.56248976233666e-12
394,1.47951360279991e-12
395,-2.55643667018884e-12
396,-7.08914693435851e-12
397,-1.27112056986757e-11
398,-2.00700225106978e-11
399,-2.99043253502103e-11
400,-4.33550432247816e-11
401,-6.30897623118627e-11
402,-9.12022713225782e-11
403,-1.02270309499089e-10
404,-7.9511855948098e-11
405,-5.86642592282701e-11
406,-8.77084617400999e-11
407,-7.82331385124631e-11
408,-7.2556219542996e-11
409,-6.92071422998892e-11
410,-6.71771555809491e-11
411,-6.54641956585044e-11
412,-6.27575498647428e-11
413,-5.71851249826702e-11
414,-5.00164906191433e-11
415,-4.39877759772639e-11
416,-3.87637753959614e-11
417,-3.41263727459564e-11
418,-2.99364935274108e-11
419,-2.64791985143953e-11
420,-2.53534239477995e-11
421,-2.44186501767893e-11
422,-2.37085275104427e-11
423,-2.3257851177225e-11
424,-2.30879247475994e-11
425,-2.31850542290118e-11
426,-2.34635723950317e-11
427,-2.3736654707326e-11
428,-2.3870766816907e-11
429,-2.38799620027428e-11
430,-2.37807185427488e-11
431,-2.35902338875041e-11
432,-2.33248378465836e-11
433,-2.29995636279542e-11
434,-2.26275695444545e-11
435,-2.2219980116436e-11
436,-2.17859304045974e-11
437,-2.13327346937646e-11
438,-2.08661181730646e-11
439,-2.03904685517086e-11
440,-1.99090802094304e-11
441,-1.94243756181243e-11
442,-1.89380976085601e-11
443,-1.84514717726066e-11
444,-1.79653371611938e-11
445,-1.74802226274898e-11
446,-1.69964147492492e-11
447,-1.6514043046252e-11
448,-1.60331233179096e-11
449,-1.55535882092537e-11
450,-1.50753075356469e-11
451,-1.4598100035367e-11
452,-1.41217365830032e-11
453,-1.3645935558321e-11
454,-1.31703707565799e-11
455,-1.2694716833347e-11
456,-1.22186748794471e-11
457,-1.17418007531346e-11
458,-1.1263536929654e-11
459,-1.07833983437396e-11
460,-1.030085150445e-11
461,-9.81533309894351e-12
462,-9.32627838689167e-12
463,-8.83316336326086e-12
464,-8.33556467098996e-12
465,-7.83323720534843e-12
466,-7.32620797839082e-12
467,-6.81489136881262e-12
468,-6.30022460978353e-12
469,-5.78381168493407e-12
470,-5.2680591668245e-12
471,-4.75627599133699e-12
472,-4.25271435778466e-12
473,-3.87353907546667e-12
474,-3.74966823204756e-12
475,-3.64088891120921e-12
476,-3.55597501432027e-12
477,-3.50273614447665e-12
478,-3.4858266432931e-12
479,-3.50333507860752e-12
480,-3.54077918969575e-12
481,-3.57203675456725e-12
482,-3.58204042232052e-12
483,-3.57355986127929e-12
484,-3.5495504845467e-12
485,-3.51287732302669e-12
486,-3.46614000271352e-12
487,-3.41162756376365e-12
488,-3.35126730208423e-12
489,-3.28663142461139e-12
490,-3.21896768553573e-12
491,-3.14924196813844e-12
492,-3.07818443148799e-12
493,-3.0063339899715e-12
494,-2.93407827638797e-12
495,-2.86168787229868e-12
496,-2.78934461036488e-12
497,-2.71716432777942e-12
498,-2.64521472466686e-12
499,-2.57352907017323e-12
500,-2.50211648188497e-12
501,-2.43096943361608e-12
502,-2.36006905498788e-12
503,-2.28938869246329e-12
504,-2.21889611577042e-12
505,-2.14855468092778e-12
506,-2.07832370339651e-12
507,-2.0081582527995e-12
508,-1.93800855429613e-12
509,-1.86781917058641e-12
510,-1.79752814213684e-12
511,-1.72706628220093e-12
512,-1.6563568568384e-12
513,-1.58531592676915e-12
514,-1.51385368549089e-12
515,-1.44187719143311e-12
516,-1.36929495190713e-12
517,-1.29602385815101e-12
518,-1.22199897050665e-12
519,-1.14718657690277e-12
520,-1.07160075085189e-12
521,-9.95323261218743e-13
522,-9.18526075498607e-13
523,-8.41494806867026e-13
524,-7.64649956183866e-13
525,-6.88561547762321e-13
526,-6.13952852621202e-13
527,-5.69953726481702e-13
528,-5.5888163140069e-13
529,-5.50406357955957e-13
530,-5.46133490136696e-13
531,-5.47527130842964e-13
532,-5.55487006905381e-13
533,-5.69632414005471e-13
534,-5.86973075154786e-13
535,-6.02868569704264e-13
536,-6.15172644000169e-13
537,-6.24307559062556e-13
538,-6.30751376533797e-13
539,-6.34986701142472e-13
540,-6.37465010327239e-13
541,-6.38585752604139e-13
542,-6.3868733930219e-13
543,-6.38046521752889e-13
544,-6.36882931133778e-13
545,-6.35366261056195e-13
546,-6.33624347442642e-13
547,-6.31751066087385e-13
548,-6.29813465249206e-13
549,-6.27857884800722e-13
550,-6.259150179523e-13
551,-6.24003983969246e-13
552,-6.22135532702306e-13
553,-6.20314517990996e-13
554,-6.1854177325442e-13
555,-6.16815509092906e-13
556,-6.15132335561615e-13
557,-6.13487994302412e-13
558,-6.11877869613098e-13
559,-6.10297333493271e-13
560,-6.08741967892286e-13
561,-6.07207697680979e-13
562,-6.0569086003795e-13
563,-6.04188229709077e-13
564,-6.02697014697747e-13
565,-6.01214833131353e-13
566,-5.99739679118203e-13
567,-5.982698831834e-13
568,-5.96804071208871e-13
569,-5.95341124585809e-13
570,-5.93880143425913e-13
571,-5.92420414100602e-13
572,-5.90961382033948e-13
573,-5.89502630534284e-13
574,-5.88043866506975e-13
575,-5.86584914199146e-13
576,-5.85125718945875e-13
577,-5.8366636629879e-13
578,-5.82206987610483e-13
579,-5.80747576008554e-13
580,-5.79288038045466e-13
581,-5.77828320293457e-13
582,-5.76368396139367e-13
583,-5.74908253480941e-13
584,-5.73447884576379e-13
585,-5.71987281191859e-13
586,-5.70526437313931e-13
587,-5.69065354085021e-13
588,-5.67604040105253e-13
589,-5.66142508939999e-13
590,-5.64680777185238e-13
591,-5.63218862997112e-13
592,-5.61756785003447e-13
593,-5.60294561524940e-13
594,-5.58832210043002e-13
595,-5.57369746860051e-13
596,-5.55907186906562e-13
597,-5.54444543657019e-13
598,-5.52981829124148e-13
599,-5.51519053907134e-13
600,-5.50056227274982e-13
601,-5.48593357270749e-13
602,-5.47130450826098e-13
603,-5.45667513878615e-13
604,-5.44204551486665e-13
605,-5.42741567938346e-13
606,-5.41278566852464e-13
607,-5.39815551270427e-13
608,-5.38352523738666e-13
609,-5.3688948638168e-13
610,-5.3542644096612e-13
611,-5.33963388956535e-13
612,-5.325003315635e-13
613,-5.31037269784898e-13
614,-5.29574204441116e-13
615,-5.28111136204914e-13
616,-5.26648065626634e-13
617,-5.25184993155407e-13
618,-5.23721919156912e-13
619,-5.22258843928208e-13
620,-5.20795767710085e-13
621,-5.19332690697321e-13
622,-5.178696130472e-13
623,-5.16406534886562e-13
624,-5.14943456317642e-13
625,-5.13480377422886e-13
626,-5.12017298268905e-13
627,-5.10554218909638e-13
628,-5.09091139388745e-13
629,-5.07628059741269e-13
630,-5.06164979994983e-13
631,-5.04701900171743e-13
632,-5.03238820288716e-13
633,-5.01775740359357e-13
634,-5.00312660394189e-13
635,-4.98849580401406e-13
636,-4.97386500387374e-13
637,-4.95923420357025e-13
638,-4.94460340314166e-13
639,-4.92997260261737e-13
640,-4.91534180202e-13
641,-4.90071100136692e-13
642,-4.88608020067148e-13
643,-4.87144939994387e-13
644,-4.85681859919191e-13
645,-4.84218779842153e-13
646,-4.82755699763726e-13
647,-4.81292619684254e-13
648,-4.79829539603997e-13
649,-4.78366459523152e-13
650,-4.76903379441868e-13
651,-4.75440299360257e-13
652,-4.73977219278403e-13
653,-4.72514139196368e-13
654,-4.71051059114201e-13
655,-4.69587979031934e-13
656,-4.68124898949596e-13
657,-4.66661818867204e-13
658,-4.65198738784774e-13
659,-4.63735658702316e-13
660,-4.62272578619836e-13
661,-4.60809498537341e-13
662,-4.59346418454835e-13
663,-4.5788333837232e-13
664,-4.56420258289799e-13
665,-4.54957178207273e-13
666,-4.53494098124743e-13
667,-4.52031018042209e-13
668,-4.50567937959673e-13
669,-4.49104857877134e-13
670,-4.47641777794593e-13
671,-4.4617869771205e-13
672,-4.44715617629504e-13
673,-4.43252537546956e-13
674,-4.41789457464406e-13
675,-4.40326377381854e-13
676,-4.38863297299299e-13
677,-4.37400217216742e-13
678,-4.35937137134182e-13
679,-4.3447405705162e-13
680,-4.33010976969055e-13
681,-4.31547896886487e-13
682,-4.30084816803917e-13
683,-4.28621736721344e-13
684,-4.27158656638767e-13
685,-4.25695576556188e-13
686,-4.24232496473606e-13
687,-4.2276941639102e-13
688,-4.21306336308431e-13
689,-4.19843256225839e-13
690,-4.18380176143243e-13
691,-4.16917096060644e-13
692,-4.15454015978041e-13
693,-4.13990935895434e-13
694,-4.12527855812823e-13
695,-4.11064775730208e-13
696,-4.09601695647589e-13
697,-4.08138615564966e-13
698,-4.06675535482338e-13
699,-4.05212455399706e-13
700,-4.03749375317069e-13
701,-4.02286295234427e-13
702,-4.0082321515178e-13
703,-3.99360135069128e-13
704,-3.97897054986471e-13
705,-3.96433974903808e-13
706,-3.9497089482114e-13
707,-3.93507814738465e-13
708,-3.92044734655785e-13
709,-3.90581654573099e-13
710,-3.89118574490406e-13
711,-3.87655494407707e-13
712,-3.86192414325001e-13
713,-3.84729334242288e-13
714,-3.83266254159567e-13
715,-3.81803174076839e-13
716,-3.80340093994104e-13
717,-3.78877013911361e-13
718,-3.77413933828609e-13
719,-3.75950853745849e-13
720,-3.7448777366308e-13
721,-3.73024693580302e-13
722,-3.71561613497514e-13
723,-3.70098533414717e-13
724,-3.6863545333191e-13
725,-3.67172373249093e-13
726,-3.65709293166265e-13
727,-3.64246213083426e-13
728,-3.62783133000575e-13
729,-3.61320052917713e-13
730,-3.59856972834838e-13
731,-3.58393892751951e-13
732,-3.56930812669051e-13
733,-3.55467732586137e-13
734,-3.54004652503209e-13
735,-3.52541572420267e-13
736,-3.5107849233731e-13
737,-3.49615412254337e-13
738,-3.48152332171348e-13
739,-3.46689252088342e-13
740,-3.45226172005319e-13
741,-3.43763091922279e-13
742,-3.42300011839219e-13
743,-3.4083693175614e-13
744,-3.39373851673042e-13
745,-3.37910771589923e-13
746,-3.36447691506782e-13
747,-3.34984611423619e-13
748,-3.33521531340433e-13
749,-3.32058451257223e-13
750,-3.30595371173988e-13
751,-3.29132291090727e-13
