"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.975(R)"
12,18,4.08093927398374,0.579506397202907,3.46071428571429,4.96785714285714
13,19,4.01209299938439,0.609077217345504,3.01785714285714,4.93571428571429
14,20,4.19584568021764,0.401602692000716,3.55625,4.721875
15,21,4.38641078529903,0.428734700103342,3.71666666666667,4.88888888888889
16,22,4.57066260401904,0.483805696793424,3.375,4.70681818181818
17,23,4.69486230403204,0.443458373241713,3.97678571428571,5.31607142857143
18,24,4.75522371292649,0.442752241725655,3.73815789473684,5.12236842105263
19,25,4.76372308633581,0.365980171409003,3.84711538461538,4.92307692307692
20,26,4.74079688799551,0.338932564748081,4.06071428571429,5.095
21,27,4.69297099390631,0.255948790210269,4.35,5.03989361702128
22,28,4.62532252072915,0.22162302689022,4.21230158730159,4.90079365079365
23,29,4.53576798185017,0.153222913674425,4.26517857142857,4.74583333333333
24,30,4.42414098531192,0.137682187072941,4.22834821428571,4.60691964285714
25,31,4.28587347541197,0.125710349426031,4.09781879194631,4.44362416107383
26,32,4.12136482794604,0.112229096436497,3.99103535353535,4.29343434343434
27,33,3.92832381129454,0.11088202393681,3.82708333333333,4.11780303030303
28,34,3.70024827486859,0.083938594823075,3.61285511363636,3.86001420454545
29,35,3.44064852150306,0.0563162660363974,3.32468017057569,3.48017057569296
30,36,3.14579046854602,0.0380835105758093,3.09372,3.20492
31,37,2.81814961904837,0.0311821254998811,2.75964543269231,2.84453125
32,38,2.46252712990453,0.0274428575985504,2.42233031674208,2.50665158371041
33,39,2.0885357262688,0.0235590587833876,2.04766371077763,2.12131650750341
34,40,1.7132921422496,0.0186298577249565,1.68314881565396,1.73765447991761
35,41,1.3667833909385,0.0141554414233027,1.33856725146199,1.38361598440546
36,42,1.14283405438333,0.00817192237232302,1.13421140380127,1.15972824274758
37,43,0.972966136061089,0.00643972723716435,0.96233547597184,0.982614018977655
38,44,0.831868357996791,0.00530181280722157,0.831231519810763,0.846496156120639
39,45,0.709765326930254,0.00582900351901251,0.703930065750149,0.72065152420801
40,46,0.604571389566638,0.00917822307427128,0.594485877499207,0.621588384639797
41,47,0.519378472618255,0.00954821905934428,0.509686712279438,0.539476053294923
42,48,0.452910420001463,0.0115110038699334,0.439038286235187,0.47348450319052
43,49,0.421085034401823,0.0109952095712176,0.410149511213341,0.443128234617596
44,50,0.412592062918702,0.0128636636837724,0.395950831525669,0.437725958062184
45,51,0.421919403491299,0.0144936106962422,0.407683590208522,0.449637352674524
46,52,0.446574484212839,0.0123275879573489,0.436013590033975,0.468969422423556
47,53,0.485788218022266,0.0174676702731353,0.45892101551481,0.512905500705219
48,54,0.539575505605095,0.0240447114146164,0.491024518388792,0.563134851138354
49,55,0.6085415503879,0.0387090348262167,0.53517316017316,0.642857142857143
50,56,0.693279141714223,0.054925134231701,0.605933333333333,0.7664
51,57,0.796102396974962,0.0528530157041922,0.708496732026144,0.865196078431373
52,58,0.915850488376641,0.0609502437606269,0.797808764940239,0.977390438247012
53,59,1.05308301383177,0.0846307322936605,0.915821256038647,1.15398550724638
54,60,1.20458397804193,0.0677762948897069,1.07090643274854,1.27090643274854
55,61,1.36804855506704,0.0994291493733719,1.2387323943662,1.55281690140845
56,62,1.67016682761941,0.115557692287937,1.5075,1.82216666666667
57,63,1.94813750900432,0.129008609939699,1.73198924731183,2.12056451612903
58,64,2.13408032776557,0.110181639710454,2.01731557377049,2.33114754098361
59,65,2.24081985797621,0.0754589935705493,2.10069659442724,2.325
60,66,2.29844234481325,0.0799561634774679,2.15651658767773,2.37304502369668
61,67,2.32689543889359,0.0661029784998992,2.22657116451017,2.3854898336414
62,68,2.33928321224776,0.0452277316540932,2.26286656891496,2.39732404692082
63,69,2.34914438219227,0.0376259351780202,2.28197174447174,2.4
64,70,2.34957016992548,0.0381286587799497,2.28503688092729,2.40842992623815
65,71,2.34117770979182,0.0402958947178327,2.27257548032937,2.40038883806038
66,72,2.32614490109711,0.0208590722094551,2.30359712230216,2.36219024780176
67,73,2.30651930753714,0.0327396783865834,2.25843267882188,2.35683730715288
68,74,2.28370645292287,0.0266179615746204,2.25700862600123,2.32989833641405
69,75,2.25848389443113,0.0199371545208215,2.23680856832972,2.29719360086768
70,76,2.23135989021351,0.0206938856134429,2.19690635451505,2.26098901098901
71,77,2.20243711235166,0.0186892240943578,2.16683888654576,2.22052931252636
72,78,2.17166107262488,0.0248122493747118,2.12764629146478,2.19917070443533
73,79,2.13886698962075,0.0229778166230363,2.10126154353562,2.17073713720317
